AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USC00030618           0Q -7777Q     5Q    24Q   125Q   274Q   417Q   421Q   185Q    41Q     4Q -7777Q
USC00030664       -7777Q -7777Q     6Q    26Q   110Q   272Q   429Q   403Q   195Q    39Q -7777Q     0Q
USC00030764       -7777S -7777S     3S    23S   109R   288S   415S   409S   205S    38R     4S -7777S
USC00030798           1S     1S    13S    53S   169S   367S   516S   511S   271S    65S     9S     1S
USC00030806       -7777C -7777C     8C    54C   191C   402C   504C   467S   251S    61S     7S     1C
USC00030832       -7777S -7777S     7S    42S   145S   328S   482S   463S   240S    59S     5S -7777S
USC00030936       -7777S     1S     9S    51S   183R   388S   497S   468S   256S    62S     8S     1S
USC00031102       -7777R     1S    10S    42S   166S   369S   491S   479S   265S    62S     7S     1R
USC00031132       -7777S -7777S     3S    20S    92S   249S   383S   367S   156S    25S     2S -7777S
USC00031140           1R     2R    10R    54R   190R   376R   501R   485R   277R    66R     9R     2R
USC00031152           1C     2S    16S    62C   193C   389C   513C   499C   280S    72S    11C     2C
USC00031191           1R     3R    13R    69R   213R   396R   515R   504R   300R    89R    12R     3R
USC00031442       -7777R     1R     9R    56R   192R   399R   508S   468S   244S    63S     9S     1S
USC00031455       -7777R -7777R     5R    29R   135R   330R   462R   462R   240R    46R     6R     1R
USC00031457           1Q     0Q     2Q    20Q   104Q   276Q   443Q   442Q   211Q    38Q     2Q -7777Q
USC00031459           1R     1R     7R    39R   149R   352R   499R   496R   258R    62R     6R -7777R
USC00031596       -7777R -7777R     8R    41S   155R   355R   490R   482R   252R    54R     5R -7777R
USC00031632       -7777S -7777S     7S    48S   167C   375C   485C   440C   218S    47C     4S -7777S
USC00031730           2S     2S    14S    55S   186S   371S   485S   476S   278S    78S    13S     3S
USC00031838       -7777S     1S    11S    54S   176S   373S   510S   504S   271S    64S     8S -7777S
USC00031900           0C     0S     1C    11C    45C   176C   303C   311C   124C    18C     1C     0C
USC00031948       -7777S     1S     9S    39S   162S   354S   488C   501C   280S    68S     9S     1S
USC00031962           1S     2S    20S    86S   252S   444S   547S   519S   320S   103S    18S     4S
USC00031968           1S     1S    11S    62S   207R   416S   532S   507S   275S    73S    11S -7777S
USC00032148           1S     2S    18S    77S   232S   417S   507S   482S   283S    83S    14S     2S
USC00032355           2S     3S    25S    96S   275S   467S   563S   552S   354S   125S    25S     5S
USC00032356       -7777S -7777S     7C    36S   109S   266C   420S   406C   183S    38R     5C -7777S
USC00032366       -7777S -7777S     6S    32R   125S   327S   466S   445S   212R    39R     4R     1R
USC00032444       -7777R     1R     6R    34R   103S   281R   434R   420R   199R    36R     4R -7777R
USC00032540       -7777S     1S     9S    42S   153S   330S   459S   454S   246S    57S     8S     1S
USC00032794       -7777S -7777S     7S    30S   112S   287S   432S   419S   191S    37S     4S -7777S
USC00032930       -7777S -7777S     9C    42C   120C   289C   434C   424C   202C    40C     5C -7777C
USC00032962       -7777R     0R     4R    20R   116R   299R   435R   418R   206R    37R     4R     1R
USC00032978       -7777S -7777S     5S    30S   121S   313S   457S   440S   222S    41S     4S -7777S
USC00033132           0Q -7777Q     5Q    32Q   136Q   330Q   485Q   464Q   222Q    57Q     6Q -7777Q
USC00033242       -7777R -7777S    12S    67S   221S   428S   542S   518S   301S    82S    11S     1S
USC00033428           1S     1S    13S    52S   179S   371S   505S   499S   282S    73S    14S     2S
USC00033466       -7777S     1S    12S    55S   178S   376S   522S   521S   284S    68S     6S     1S
USC00033544       -7777S -7777S     6S    34S   101S   266S   415S   407S   191S    41S     5S -7777S
USC00033734       -7777S -7777S     5S    38S   154S   357S   471S   443S   217S    46S     4S -7777S
USC00033821       -7777S     1S    11S    63S   214S   430S   525S   482S   265S    70S     9S     1S
USC00033862           1C     1C    15C    70C   212C   402C   502C   473C   268S    73S    10S     1S
USC00033909           0Q     0Q     2Q    21Q    64Q   231Q   378Q   386Q   156Q    33Q     1Q -7777Q
USC00034106       -7777S -7777S     2S    11S    69S   223S   366S   348S   141S    22S     1S -7777S
USC00034134           1S     1S    10S    45S   170S   358S   480S   454R   254R    54R     7C     1S
USC00034185           2R     3R    18R    62R   192R   387R   510R   511R   300R    89R    17R     3R
USC00034528       -7777Q     1Q    11Q    48Q   173Q   374Q   490Q   468Q   244Q    57Q     3Q -7777Q
USC00034548           2S     2S    16S    58S   193S   376S   497S   494S   290S    82S    15S     3S
USC00034562           1S     1S     9R    48S   181R   374R   499S   480S   276S    64S     6S     1S
USC00034572       -7777S -7777S     3S    20S    92S   261S   391S   371S   155S    24S     2S -7777C
USC00034638       -7777C     1C    11C    61C   212C   416C   513C   484S   280C    78C    11C     1C
USC00034666       -7777R -7777S     3S    25S    86S   257S   403S   377S   171S    35S     5R -7777R
USC00034711           0Q -7777Q     3Q    40Q   173Q   403Q   521Q   491Q   248Q    51Q     4Q -7777Q
USC00034756       -7777R -7777R     6R    26S   114S   285S   419C   411C   207S    44S     5R     1R
USC00034938       -7777S     1S     5S    35S   145S   342R   484S   462S   241R    49R     6R -7777S
USC00034988       -7777C     1S     6S    32S   115S   287S   426S   417S   200S    38S     6S     1S
USC00035018           0R -7777R     4R    23R   112R   283R   432R   416R   195R    33R     2R -7777R
USC00035036       -7777R -7777R     6R    31R   107S   295S   436S   427S   200S    38R     4R -7777R
USC00035046       -7777R -7777R     8R    42R   126R   314R   457R   432R   215R    46R     8R     1R
USC00035079       -7777S -7777S     6R    28R   121S   299S   426R   429S   231S    48S     5S -7777S
USC00035112           1S     2S    16S    60S   204S   402S   535S   538S   325S    89S    15S     3S
USC00035186       -7777C -7777C     7C    45C   173C   384S   501C   470S   244C    52S     5C -7777C
USC00035200       -7777R -7777R     8R    41S   147R   341C   485C   470C   242C    49S     6S     1R
USC00035376       -7777R     2R    18R    60R   207R   381R   496R   513R   296R    88R    16R     1R
USC00035508           0R -7777R     4R    28R   115R   314R   449R   467R   233R    41R     4R -7777R
USC00035512       -7777R -7777R     6R    33R   124R   323R   474R   474R   235R    50R     4R -7777R
USC00035563       -7777C -7777C     5C    39C   164C   375C   482C   453S   233S    50S     4C -7777C
USC00035754           1S     1R    17R    71R   214S   410R   530R   513R   303R    85R    14R     2R
USC00035820       -7777S -7777S     3S    24S   127S   328S   449S   417S   190R    32S     2S     0S
USC00035831       -7777Q -7777Q     6Q    42Q   155Q   345Q   471Q   454Q   234Q    56Q     5Q -7777Q
USC00035866       -7777S     1S    13S    63S   219S   414S   508S   496S   300S    86S    11S     1S
USC00035908       -7777S     1S     8S    41S   164S   348S   468S   468S   258S    59S     6S     1S
USC00036174           3Q     5Q    22Q    86Q   225Q   451Q   538Q   523Q   316Q    99Q    15Q     3Q
USC00036253           1S     1S    15S    73S   233S   429S   524S   496S   295S    89S    15S     2S
USC00036376       -7777R     1S    15R    61S   197S   402R   515R   491R   288S    77R    11R     1R
USC00036403       -7777Q -7777Q     2Q    20Q    95Q   281Q   423Q   401Q   168Q    24Q     2Q -7777Q
USC00036506       -7777S -7777S     9S    43S   178S   382S   507S   480S   252S    51S     5S     1S
USC00036562           1S     1S    13S    55S   179S   375S   501S   482S   269S    64S     8S     2S
USC00036768           1R     1R     8R    38R   159R   353R   494R   466R   254R    48R     6R     1R
USC00036920       -7777S     1S    10S    57S   205S   412S   515S   485S   276S    74S     9S     1S
USC00036928           1C -7777S    10C    45C   156C   347C   491C   474C   248S    56C     7C     1C
USC00037488       -7777S -7777S     6S    36S   133S   309S   449S   433S   211S    43S     4S -7777S
USC00037582           1S     2S    14S    57S   183S   370S   488S   473S   274S    73S    12S     3S
USC00037712       -7777S -7777S    10S    54S   196S   403S   511S   482S   283S    73S     9S     1S
USC00038010       -7777Q     1Q     6Q    31Q   146Q   348Q   483Q   460Q   235Q    42Q     1Q     0Q
USC00038052       -7777S -7777S     8S    42S   176S   383S   476S   434S   225S    64S     7S -7777S
USC00038084       -7777R -7777R     4R    28R    98R   295R   431R   395R   178R    31R     3R     1R
USC00040029           0R     0R     0R -7777R     9R    37R   157R   130R    41R     2R -7777R     0R
USC00040136           2R     5S     7R    28R    52S   130R   290R   333S   259R   111R    23R     1R
USC00040161           0S     0S     0S -7777S     3S    25R   102R    65R    11R -7777R     0R     0R
USC00040192          18R    16R    28R    55R   112R   187R   329R   366R   299R   166R    53R    10R
USC00040212       -7777S -7777S     2S    11S    45S   103S   186S   170S   127S    46S     1S -7777S
USC00040232           0S -7777S     1R    20S   101S   217R   321S   289S   206C    63S     2S     0S
USC00040343       -7777S -7777S     1S    20S   126S   308S   526S   502S   321S   105S     6S -7777S
USC00040379           0S     0S     1S    18S   105S   265S   475S   444S   277S    75S     2S     0S
USC00040383           0S -7777S     1S    14S    87S   216S   395S   371S   235S    74S     2S -7777S
USC00040436       -7777R     2R    37R   156R   428R   685R   890R   842R   571R   197R    14R -7777R
USC00040444           0Q -7777Q     6Q    41Q   154Q   343Q   522Q   494Q   327Q   104Q     5Q     0Q
USC00040449           0S     0S     3S    22R   104S   263S   502S   505S   336S   103R     2R     0S
USC00040521       -7777R -7777R    10S    59R   218S   439R   639S   594R   371S   106S     5S -7777R
USC00040673           0S -7777S     1S     6S    25S    55S    99S   104S    80S    24S     1S     0S
USC00040693       -7777R -7777R     2R     8S    13S    26R    25R    29R    41R    27R     2R -7777R
USC00040738           0R -7777R -7777R     3R    41R   126R   298S   280R   130R    15R -7777R     0R
USC00040741           0S     0S     0S     0S -7777S     7S    48S    29C     3S -7777S     0C     0S
USC00040755           0Q     0Q     0Q -7777Q     7Q    36Q   166Q   166Q    92Q    13Q -7777Q     0Q
USC00040790       -7777R     1R     2R    11R    20R    31R    30R    35R    47R    32R     4R -7777R
USC00040924           1S     7S    64S   214S   468S   682S   877R   851S   624R   269S    33R -7777S
USC00040931           0S     0S     0S     0S -7777S     3S    20S     9S -7777S     0S     0S     0S
USC00040943           0C     0C     0C     0S -7777C -7777S     2C -7777C -7777C     0C     0C     0S
USC00040983           3S    14S    68S   165S   373S   594S   801S   783S   594S   303S    60S     2S
USC00041018           0R     0R     0R -7777R     4R    37R   131R   120R    57R     7R -7777R     0R
USC00041048           2S     9S    64S   171R   385R   599R   815R   825R   634R   320R    54R     1R
USC00041072           0S     0S     0S     0S -7777S     3S    21S    10S -7777S     0S     0S     0S
USC00041214           0R     0R     0R -7777R     6R    25R    93R    59R    15R -7777R     0R     0R
USC00041244       -7777S -7777S     6S    46S   188S   350S   521S   470S   301S    86S     3S -7777S
USC00041253       -7777S     2S     3S    18S    46S    99S   215S   223S   167S    74S    13S -7777S
USC00041277           0C     0C     0S -7777S     4S    29S   103C    87C    30S     3C     0C     0C
USC00041312       -7777R -7777S     3S    10S    48S   125S   219S   201S   140S    40R     2R     0R
USC00041316           0C     0C     0C -7777C     5C    29C   121C    93C    18C -7777C     0C     0C
USC00041428           0S -7777S     1S    18S    98S   237S   406S   380S   256S    85S     3S     0S
USC00041476           0R     0R     0R -7777R     3R    23R   105S    70S    11R -7777R     0R     0R
USC00041484           2R     4R    10R    39R    95R   187R   344R   369R   271R   100R    12R     2R
USC00041497           0S     0S     0S     0S     3S    25S   104S    77S    18S -7777S     0S     0S
USC00041534           0Q -7777Q     2Q     9Q    15Q    34Q    44Q    49Q    86Q    48Q     5Q -7777Q
USC00041606           0R     0R     0R -7777R    14R    69R   202R   168R    65R     5R     0R     0R
USC00041614           0S     0S     0S -7777S    10S    60S   210S   163S    36S     2S     0S     0S
USC00041697           0C     0C -7777C     1C    20C    85C   236C   220C    97C    13C -7777C     0S
USC00041700           0S     0S     0S     0S     1S    16S    79S    51S     8S -7777S     0S     0R
USC00041715           0R -7777R     2R    19R   119R   243R   383R   341R   226R    54R     1R     0R
